city_id,year,month,avg_temperature
tyo,2016,7,77.64
tyo,2016,8,81.37
tyo,2016,9,76.49
tyo,2016,10,67.1
tyo,2016,11,54.47
tyo,2016,12,50.25
yvr,2016,1,40.79
yvr,2016,2,44.46
yvr,2016,3,47.17
yvr,2016,4,53.4
yvr,2016,5,57.66
yvr,2016,6,60.54
yvr,2016,7,64.52
yvr,2016,8,64.94
yvr,2016,9,57.64
yvr,2016,10,51.94
yvr,2016,11,48.8
yvr,2016,12,33.84
bkk,2017,1,81.77
bkk,2017,2,83.18
bkk,2017,3,86.08
bkk,2017,4,87.17
bkk,2017,5,85.21
bkk,2017,6,85.27
bkk,2017,7,84.17
bkk,2017,8,84.82
bkk,2017,9,84.7
bkk,2017,10,83.0
bkk,2017,11,82.33
bkk,2017,12,79.43
lon,2017,1,40.94
lon,2017,2,46.3
lon,2017,3,51.6
lon,2017,4,52.71
lon,2017,5,59.15
lon,2017,6,66.36
lon,2017,7,66.83
lon,2017,8,64.82
lon,2017,9,60.01
lon,2017,10,57.71
lon,2017,11,47.92
lon,2017,12,44.44
nyc,2017,1,37.26
nyc,2017,2,41.5
nyc,2017,3,39.05
nyc,2017,4,56.39
nyc,2017,5,60.75
nyc,2017,6,72.35
nyc,2017,7,76.65
nyc,2017,8,73.86
nyc,2017,9,70.11
nyc,2017,10,63.19
nyc,2017,11,45.46
nyc,2017,12,33.58
sel,2017,1,27.86
sel,2017,2,30.65
sel,2017,3,41.18
sel,2017,4,54.9
sel,2017,5,64.99
sel,2017,6,72.08
sel,2017,7,79.89
sel,2017,8,77.89
sel,2017,9,70.0
sel,2017,10,58.76
sel,2017,11,40.93
sel,2017,12,27.83
sfo,2017,1,50.59
sfo,2017,2,54.16
sfo,2017,3,55.78
sfo,2017,4,57.4
sfo,2017,5,58.66
sfo,2017,6,61.52
sfo,2017,7,62.03
sfo,2017,8,64.19
sfo,2017,9,67.84
sfo,2017,10,62.21
sfo,2017,11,57.73
sfo,2017,12,52.34
sgp,2017,1,82.15
sgp,2017,2,81.88
sgp,2017,3,82.83
sgp,2017,4,83.57
sgp,2017,5,84.7
sgp,2017,6,84.98
sgp,2017,7,85.03
sgp,2017,8,84.08
sgp,2017,9,83.27
sgp,2017,10,83.65
sgp,2017,11,81.62
sgp,2017,12,81.64
syd,2017,1,76.52
syd,2017,2,75.33
syd,2017,3,66.41
syd,2017,4,66.04
syd,2017,5,61.86
syd,2017,6,57.54
syd,2017,7,56.68
syd,2017,8,57.99
syd,2017,9,64.13
syd,2017,10,67.43
syd,2017,11,68.58
syd,2017,12,74.35
tpe,2017,1,64.58
tpe,2017,2,62.41
tpe,2017,3,64.94
tpe,2017,4,73.02
tpe,2017,5,79.12
tpe,2017,6,83.48
tpe,2017,7,87.89
tpe,2017,8,88.87
tpe,2017,9,85.64
tpe,2017,10,78.23
tpe,2017,11,72.55
tpe,2017,12,64.03
tyo,2017,1,44.62
tyo,2017,2,45.57
tyo,2017,3,48.12
tyo,2017,4,58.86
tyo,2017,5,67.89
tyo,2017,6,71.93
tyo,2017,7,80.96
tyo,2017,8,79.9
tyo,2017,9,74.01
tyo,2017,10,63.89
tyo,2017,11,55.93
tyo,2017,12,46.55
yvr,2017,1,35.85
yvr,2017,2,37.66
yvr,2017,3,43.82
yvr,2017,4,48.92
yvr,2017,5,55.49
yvr,2017,6,60.22
yvr,2017,7,65.12
yvr,2017,8,65.95
yvr,2017,9,60.83
yvr,2017,10,49.65
yvr,2017,11,44.59
yvr,2017,12,36.58
bkk,2018,1,81.55
bkk,2018,2,81.25
bkk,2018,3,84.7
bkk,2018,4,84.58
bkk,2018,5,84.18
bkk,2018,6,85.59
bkk,2018,7,84.4
bkk,2018,8,83.87
bkk,2018,9,83.61
bkk,2018,10,84.0
bkk,2018,11,83.88
bkk,2018,12,83.37
lon,2018,1,45.22
lon,2018,2,39.44
lon,2018,3,44.13
lon,2018,4,53.54
lon,2018,5,59.84
lon,2018,6,64.92
lon,2018,7,72.08
lon,2018,8,67.28
lon,2018,9,61.24
lon,2018,10,55.3
lon,2018,11,49.42
lon,2018,12,48.0
nyc,2018,1,30.97
nyc,2018,2,40.94
nyc,2018,3,39.37
nyc,2018,4,48.18
nyc,2018,5,66.39
nyc,2018,6,72.2
nyc,2018,7,78.27
nyc,2018,8,78.74
nyc,2018,9,71.02
nyc,2018,10,57.28
nyc,2018,11,43.95
nyc,2018,12,39.62
sel,2018,1,23.43
sel,2018,2,27.29
sel,2018,3,44.72
sel,2018,4,53.73
sel,2018,5,63.62
sel,2018,6,71.82
sel,2018,7,79.68
sel,2018,8,82.65
sel,2018,9,69.88
sel,2018,10,54.18
sel,2018,11,44.17
sel,2018,12,29.51
sfo,2018,1,53.16
sfo,2018,2,53.82
sfo,2018,3,54.61
sfo,2018,4,57.1
sfo,2018,5,59.11
sfo,2018,6,62.99
sfo,2018,7,63.56
sfo,2018,8,61.18
sfo,2018,9,60.06
sfo,2018,10,60.78
sfo,2018,11,56.44
sfo,2018,12,52.52
sgp,2018,1,79.84
sgp,2018,2,81.4
sgp,2018,3,82.78
sgp,2018,4,83.31
sgp,2018,5,83.87
sgp,2018,6,83.57
sgp,2018,7,84.07
sgp,2018,8,84.4
sgp,2018,9,82.01
sgp,2018,10,81.79
sgp,2018,11,80.67
sgp,2018,12,81.31
syd,2018,1,75.06
syd,2018,2,73.96
syd,2018,3,73.13
syd,2018,4,71.11
syd,2018,5,61.83
syd,2018,6,56.19
syd,2018,7,57.14
syd,2018,8,57.37
syd,2018,9,60.54
syd,2018,10,64.82
syd,2018,11,69.24
syd,2018,12,73.61
tpe,2018,1,62.52
tpe,2018,2,60.48
tpe,2018,3,69.8
tpe,2018,4,75.12
tpe,2018,5,83.67
tpe,2018,6,84.61
tpe,2018,7,87.91
tpe,2018,8,86.28
tpe,2018,9,83.94
tpe,2018,10,74.76
tpe,2018,11,73.5
tpe,2018,12,67.88
tyo,2018,1,42.7
tyo,2018,2,43.1
tyo,2018,3,53.54
tyo,2018,4,63.13
tyo,2018,5,68.01
tyo,2018,6,72.59
tyo,2018,7,82.97
tyo,2018,8,83.08
tyo,2018,9,74.5
tyo,2018,10,67.87
tyo,2018,11,59.17
tyo,2018,12,49.28
yvr,2018,1,41.59
yvr,2018,2,38.27
yvr,2018,3,42.95
yvr,2018,4,48.84
yvr,2018,5,58.63
yvr,2018,6,60.44
yvr,2018,7,66.72
yvr,2018,8,65.25
yvr,2018,9,57.52
yvr,2018,10,49.94
yvr,2018,11,45.64
yvr,2018,12,40.91
bkk,2019,1,81.96
bkk,2019,2,85.56
bkk,2019,3,86.89
bkk,2019,4,89.49
bkk,2019,5,88.04
bkk,2019,6,85.83
bkk,2019,7,85.52
bkk,2019,8,84.43
bkk,2019,9,83.65
bkk,2019,10,85.03
bkk,2019,11,83.49
bkk,2019,12,80.82
lon,2019,1,42.25
lon,2019,2,47.09
